Nama Lokasi,Jam Login,Nama,Email,No Telepon,Tahun Lahir,Merk HP,Minat Digital,Tipe Lokasi,Usia,Sesi Login
Mall Senayan,07:04,User_1,user_1@dummy.com,08128896868,1991,Oppo,PC Gaming,Commercial,35,Pagi
Mall Senayan,10:01,User_2,user_2@dummy.com,08124731818,2004,Apple,E-commerce,Commercial,22,Pagi
Stasiun Gambir,18:35,User_3,user_3@dummy.com,08124348276,1999,Xiaomi,E-commerce,Transit,27,Malam
Cafe Kopi Kenangan,07:37,User_4,user_4@dummy.com,08128722606,1995,Oppo,Social Media,Commercial,31,Pagi
Cafe Kopi Kenangan,07:00,User_5,user_5@dummy.com,08126866294,1992,Samsung,Social Media,Commercial,34,Pagi
Cafe Kopi Kenangan,02:45,User_6,user_6@dummy.com,08126120253,2005,Xiaomi,E-commerce,Commercial,21,Malam
Mall Senayan,20:03,User_7,user_7@dummy.com,08124818418,1991,Apple,Social Media,Commercial,35,Malam
Mall Senayan,07:04,User_8,user_8@dummy.com,08124740036,2003,Samsung,Social Media,Commercial,23,Pagi
Bandara Soekarno-Hatta,01:55,User_9,user_9@dummy.com,08121397023,1995,Samsung,Crypto Trading,Transit,31,Malam
Mall Senayan,10:04,User_10,user_10@dummy.com,08124240180,1995,Samsung,Social Media,Commercial,31,Pagi
Mall Senayan,16:15,User_11,user_11@dummy.com,08127685149,2005,Xiaomi,PC Gaming,Commercial,21,Sore
Mall Senayan,08:42,User_12,user_12@dummy.com,08126507321,1988,Apple,Social Media,Commercial,38,Pagi
Cafe Kopi Kenangan,15:13,User_13,user_13@dummy.com,08125674183,1992,Samsung,Social Media,Commercial,34,Sore
Cafe Kopi Kenangan,17:08,User_14,user_14@dummy.com,08122164686,1987,Oppo,E-commerce,Commercial,39,Sore
Mall Senayan,23:59,User_15,user_15@dummy.com,08125682940,2005,Samsung,PC Gaming,Commercial,21,Malam
Cafe Kopi Kenangan,18:36,User_16,user_16@dummy.com,08126891254,1986,Samsung,Social Media,Commercial,40,Malam
Bandara Soekarno-Hatta,15:15,User_17,user_17@dummy.com,08129546409,1996,Xiaomi,Social Media,Transit,30,Sore
Cafe Kopi Kenangan,15:51,User_18,user_18@dummy.com,08127705490,1990,Xiaomi,Crypto Trading,Commercial,36,Sore
Bandara Soekarno-Hatta,13:12,User_19,user_19@dummy.com,08129996207,1986,Apple,Social Media,Transit,40,Siang
Stasiun Gambir,03:06,User_20,user_20@dummy.com,08126555772,2005,Oppo,Social Media,Transit,21,Malam
Mall Senayan,21:27,User_21,user_21@dummy.com,08121463060,1985,Xiaomi,Crypto Trading,Commercial,41,Malam
Cafe Kopi Kenangan,11:27,User_22,user_22@dummy.com,08122935113,1996,Samsung,E-commerce,Commercial,30,Pagi
Bandara Soekarno-Hatta,13:29,User_23,user_23@dummy.com,08125382463,1996,Apple,Social Media,Transit,30,Siang
Stasiun Gambir,23:03,User_24,user_24@dummy.com,08123995870,2001,Samsung,Crypto Trading,Transit,25,Malam
Stasiun Gambir,21:41,User_25,user_25@dummy.com,08125453786,1994,Samsung,PC Gaming,Transit,32,Malam
Cafe Kopi Kenangan,20:06,User_26,user_26@dummy.com,08121641849,2000,Xiaomi,E-commerce,Commercial,26,Malam
Cafe Kopi Kenangan,01:25,User_27,user_27@dummy.com,08122818692,1999,Apple,PC Gaming,Commercial,27,Malam
Stasiun Gambir,23:21,User_28,user_28@dummy.com,08128290770,1999,Oppo,PC Gaming,Transit,27,Malam
Mall Senayan,03:15,User_29,user_29@dummy.com,08126799667,2003,Oppo,Crypto Trading,Commercial,23,Malam
Mall Senayan,06:12,User_30,user_30@dummy.com,08126262632,1996,Xiaomi,Social Media,Commercial,30,Pagi
Bandara Soekarno-Hatta,17:28,User_31,user_31@dummy.com,08128321474,2004,Xiaomi,Crypto Trading,Transit,22,Sore
Mall Senayan,04:27,User_32,user_32@dummy.com,08129580255,1987,Apple,Crypto Trading,Commercial,39,Malam
Stasiun Gambir,05:17,User_33,user_33@dummy.com,08122940214,1989,Oppo,Crypto Trading,Transit,37,Pagi
Stasiun Gambir,14:15,User_34,user_34@dummy.com,08127462506,2003,Oppo,Crypto Trading,Transit,23,Siang
Stasiun Gambir,02:28,User_35,user_35@dummy.com,08124188992,1991,Oppo,E-commerce,Transit,35,Malam
Mall Senayan,17:06,User_36,user_36@dummy.com,08125273534,2005,Samsung,Social Media,Commercial,21,Sore
